Source reference number,Document title,URL,"Date of document (if applicable)",Date accessed
87,YouTube Help - Privacy Guidelines,https://support.google.com/youtube/answer/7671399?p=privacy_guidelines&hl=en&visit_id=636735775150301622-2155929330&rd=1,None found,"2018-09-26"
88,YouTube Help - Privacy Complaint Process,https://support.google.com/youtube/answer/142443,None found,"2018-09-26"
89,Play Console Help - Understanding Google Play developer account terminations,https://support.google.com/googleplay/android-developer/answer/2491922?hl=en&ref_topic=3453554,None found,"2018-09-26"
90,Play Console Help - My App Has Been Removed from Google Play,https://support.google.com/googleplay/android-developer/answer/2477981,None found,"2018-09-26"
91,Docs Help - Report a Violation,https://support.google.com/docs/answer/2463296?visit_id=636736018359035859-1520114369&rd=1,None found,"2018-09-26"
92,AI at Google: our principles,https://www.blog.google/technology/ai/ai-principles/,None found,"2018-09-26"
93,Google Privacy - Spanish,https://policies.google.com/privacy?hl=es&gl=us,05/25/2018,"2018-10-05"
94,Frequently Asked Copyright Questions,https://support.google.com/legal/answer/4558836?hl=en&ref_topic=4558877,None found,"2018-10-05"
95,Gmail Program Policies - Spanish,https://www.google.com/intl/es/gmail/about/policy/,None found,"2018-10-05"
96,YouTube Terms of Service No Spanish,https://www.youtube.com/t/terms,05/25/2018,"2018-10-05"
97,Youtube Community Guidelines - Spanish,https://www.youtube.com/intl/es-419/yt/about/policies/#community-guidelines,None found,"2018-10-05"
98,Google Play Terms of Service - Spanish,https://play.google.com/intl/es-419_us/about/play-terms.html,02/05/2018,"2018-10-05"
99,Google Play Developer Program Policies - Spanish,https://play.google.com/intl/es/about/developer-content-policy-print/index.html,None found,"2018-10-05"
